text,text_processed
Centro Sevilla,centro sevilla
Hotel situado en el centro a pocos minutos de la famosa Plaza de España,situado centro pocos minutos famosa plaza espana
Habitación estándar correcta con una decoración algo sobria pero muy limpia,habitacion estandar correcta decoracion sobria limpia
"Muy buenas instalaciones con una piscina pequeña pero recomendable, sobre todo si hace calor",buenas instalaciones piscina pequena recomendable hace calor
Personal atento y muy amable,personal atento amable
Parking de pago en el mismo hotel,parking pago mismo
Finde sevillano,finde sevillano
"Como siempre muy bien , excelente acogida y trato",siempre bien excelente acogida trato
Relacion calidad/precio extraordinaaria,relacion calidad precio extraordinaaria
Personal profesional  y encantador,personal profesional encantador
Limpieza y desinfección absolutas,limpieza desinfeccion absolutas
Comoen la mayoria de hoteles se tienen qu ereplantear el precio del parking,comoen mayoria hoteles qu ereplantear precio parking
Viaje a Sevilla,viaje sevilla
"Hote muy céntrico, con parking, piscina y spa, habitaciones muy amplias y cómodas, por ponerle un pero",hote centrico parking piscina spa habitaciones amplias comodas ponerle
las almohadas muy incómodas,almohadas incomodas
"Paradas de transporte público muy cercanas al hotel, aunque andando al centro de la ciudad, son unos 20 minutos",paradas transporte publico cercanas aunque andando centro ciudad 20 minutos
"Muy recomendable, sin duda repetiría",recomendable sin duda repetiria
Muy buena elección,buena eleccion
"El hotel está muy bien, bien situado, bonito y el personal muy y muy amable",bien bien situado bonito personal amable
"Comp punto negativo seria que el zumo de naranja no sea natural y los huevos no tienen sabor a huevo, un poco más de calidad",comp punto negativo zumo naranja no natural huevos no sabor huevo calidad
Asturias,asturias
La verdad es que fue una apuesta a ciegas y no pudo resultar mejor,verdad apuesta ciegas no pudo resultar mejor
"El hotel lo tiene todo: una ubicación perfecta, a cinco minutos de todo, incluidos unos increíbles churros, unas instalaciones confortables  y acogedoras, un entorno andaluz cálido y, sobre todo, un personal excepcionalmente amable",ubicacion perfecta cinco minutos incluidos increibles churros unas instalaciones confortables acogedoras entorno andaluz calido personal excepcionalmente amable
"Si bien la atención ha sido exquisita por parte de todos los empleados, el joven Eduardo y el encargado de la terraza, con unos fabulosos tintos de verano de naranja, merecen una mención especial",bien atencion sido exquisita parte empleados joven eduardo encargado terraza fabulosos tintos verano naranja merecen mencion especial
Gracias a todos y estén seguros de que volveremos,gracias seguros volveremos
4 noches en sevilla,4 noches sevilla
"Para pasar 4 noches en Sevilla hemos elegido este hotel , un hotel muy bien ubicado en el centro de la ciudad , desde la atención pasando por la limpieza como las habitaciones se nota el cuidado y el mimo que quieren dar en sus servicios",pasar 4 noches sevilla elegido bien ubicado centro ciudad atencion pasando limpieza habitaciones nota cuidado mimo quieren dar servicios
"Cuenta con dos piscinas en la terraza  que, aunque pequeñas, valen para darse un chapuzón y quitarse el calor insoportable al que la gente del norte no estamos acostumbrados ",cuenta dos piscinas terraza aunque pequenas valen darse chapuzon quitarse calor insoportable gente norte no acostumbrados
"Como pero , la habitación pese a dar un patio interior y no escucharse ruido de la calle si que se escucha al servicio de limpieza por las mañanas haciendo las habitaciones contiguas , la propia habitación en la que estábamos alojados consideramos algo pobre de luz natural siendo obligatorio a usar la luz propia para tareas cotidianas ",habitacion pese dar patio interior no escucharse ruido calle escucha servicio limpieza mananas haciendo habitaciones contiguas propia habitacion alojados consideramos pobre luz natural siendo obligatorio usar luz propia tareas cotidianas
Los desayunos de tipo buffet …,desayunos tipo buffet
Muy buena,buena
"Personal un poco escaso en el comedor, a la hora del desayuno, es el servicio que yo utilicé , desconozco en el servicio de comida y cena",personal escaso comedor hora desayuno servicio utilice desconozco servicio comida cena
En ese fin de semana había un Congreso Médico y creo que hubiese sido necesario poner más personal,fin semana congreso medico creo sido necesario poner personal
Las mesas tardaban en limpiarse y la reposición de alimentos también,mesas tardaban limpiarse reposicion alimentos
Viaje de negocios Sevilla,viaje negocios sevilla
"hotel bien situado, una pena que el bar no ofreciera cocteles",bien situado pena bar no ofreciera cocteles
"Buen desayuno, el acceso al parking se puede mejorar todavía mas aunque ya es una mejora significativa no tener que salir a la calle y poder acceder desde el interior",buen desayuno acceso parking puede mejorar todavia aunque mejora significativa no tener salir calle poder acceder interior
UNA NOCHE EXPRESS EN SEVILLA,noche express sevilla
"menos la insonorización de la habitación , que se escuchaba una discoteca y los coches y ambulancias pasar , el resto muy cómoda la habitación ",menos insonorizacion habitacion escuchaba discoteca coches ambulancias pasar resto comoda habitacion
también deberían poner un gorro de ducha ,deberian poner gorro ducha
te das cuenta que no hay justo cuando vas a ducharte,das cuenta no justo vas ducharte
Estancia muy agradable,estancia agradable
"Level esta bien organizado y te resulta muy util poder tomar algo a cualquier hora Desayuno muy variado  Camas muy confortables En general es un hotel recomendable, esta accesible si viajas en coche es facil llegar",level bien organizado resulta util poder tomar cualquier hora desayuno variado camas confortables general recomendable accesible viajas coche facil llegar
Buen hotel en la zona de las facultades,buen zona facultades
"Hotel muy bien situado al lado de las facultades (ideal para exámenes, oposiciones…) con gran número de habitaciones! Habitaciones en buen estado, con camas grandes",bien situado lado facultades ideal examenes oposiciones gran numero habitaciones habitaciones buen camas grandes
"Posibilidad de comer y cenar en el propio hotel, con servicio de bar también en la planta baja",posibilidad comer cenar propio servicio bar planta baja
Desayuno buffet mas que correcto con un trato amable por parte de los trabajadores,desayuno buffet correcto trato amable parte trabajadores
"Muy cerca de la Plaza España y el Parque de María Luisa, y dando un paseo en 20minutos llegas a la zona monumental",cerca plaza espana parque maria luisa dando paseo 20minutos llegas zona monumental
Todo muy bien,bien
El café y té de cortesía es un buen detalle,cafe cortesia buen detalle
"El precio algo caro por las fechas, pero como siembre los hoteles NH no drefraudan",precio caro fechas siembre hoteles nh no drefraudan
La localización es muy buena,localizacion buena
Hay estacion de metro y de tranvia muy cerca,estacion metro tranvia cerca
El metro se puede pagar para varias personas con la tarjeta de crédito directamente y sale mejor de precio,metro puede pagar varias personas tarjeta credito directamente sale mejor precio
Hotel acorde a la calidad/precio,acorde calidad precio
"Un hotel con un nivel de silencio muy bueno, la cama Queen es códoda y muy amplia",nivel silencio bueno cama queen cododa amplia
Dispone de unos altavoces en el baño para escuchar la música de la televisión,dispone altavoces bano escuchar musica television
El trato del personal en recepción muy agradable,trato personal recepcion agradable
Aire acondicionado habitacion muy ruidiso,aire acondicionado habitacion ruidiso
El aire acondicionado de la habitacion es extremadamente ruidoso y ademas habia que ponerlo al maximo para que funcionase minimamente,aire acondicionado habitacion extremadamente ruidoso ademas ponerlo maximo funcionase minimamente
"Deberian modernizarlo, esta fuera de los estandares actuales",deberian modernizarlo estandares actuales
El servicio excelente,servicio excelente
Personal muy invilucrado,personal invilucrado
Finde en familia,finde familia
"La habitación mi bien, limpieza, cama muy comoda",habitacion bien limpieza cama comoda
"La comida muy buena, aunque el servicio un poco lento, pero merecio la pena",comida buena aunque servicio lento merecio pena
El desayuno caro,desayuno caro
18,18
"50 por persona me parece excesivo para desayunar, nos fuimos fuera del hotel",50 persona parece excesivo desayunar
Muy Buena eLECCIÓN,buena eleccion
AUNQUE YA TIENE UNOS AÑOS EL HOTEL ESTÁ BIEN CONSERVADO,aunque anos bien conservado
LOS FINES DE SEMANA ES FÁCIL Y GRATIS APARCAR FUERA,fines semana facil gratis aparcar
Anexas al hotel hay varias cafeterías abiertas todos los días si no se usa el buffet,anexas varias cafeterias abiertas dias no usa buffet
El hotel no tiene hasta las 12 horas servicio de cafetería,no 12 horas servicio cafeteria
De collection,collection
"Excelente estancia con un perdsonal de collection, siempre es un placer estar asi atendido con un personal tan atento y profesional",excelente estancia perdsonal collection siempre placer asi atendido personal tan atento profesional
En todos los nh hay profesionalidad pero sevilla tiene una atencion especial,nh profesionalidad sevilla atencion especial
Servicio en general,servicio general
el personal de Recepcion es muy amable y profesional,personal recepcion amable profesional
las habitaciones estan muy bien aisladas y no hay ruidos,habitaciones bien aisladas no ruidos
es ideal para trabajar y descansar,ideal trabajar descansar
esta muy bien ubicado y es muy representativo en la ciudad,bien ubicado representativo ciudad
Es un buen hotel,buen
"Me parece un gran hotel, sólo que no tiene sauna, en viajes de negocios se agradece algo de Spa",parece gran solo no sauna viajes negocios agradece spa
Normalmente los NH que he visitado en el norte tienen sauna y piscina e incluso pistas de padel,normalmente nh visitado norte sauna piscina incluso pistas padel
"Pero en conclusión es un hotel muy bonito, las habitaciones son grandes, muy limpias y bonitas",conclusion bonito habitaciones grandes limpias bonitas
Primera vez!,primera vez
"El hotel genial, lo que no nos convence lo que hay al alrededor, está en Nervion y estábamos acostumbrados a parar por Triana, y claro, nada que ver",genial no convence alrededor nervion acostumbrados parar triana claro nada ver
"Las habitaciones geniales, la piscina es muy pequeña, con esto de la pandemia no hemos querido usarla, el parking del hotel es de un centro comercial, tiene acceso directo y cuesta 13,50€ las 24h",habitaciones geniales piscina pequena pandemia no querido usarla parking centro comercial acceso directo cuesta 1350 24h
Las toallas de la piscina te las dan en recepción sin coste alguno,toallas piscina dan recepcion sin coste alguno
Una cosa que no nos gustó que no controlan si alguien usa los ascensores sin la mascarilla que es obligatoria,cosa no gusto no controlan alguien usa ascensores sin mascarilla obligatoria
Hotel correcto junto a Santa Justa y con piscina,correcto junto santa justa piscina
"El hotel esta bien, si tuviera que quedarme con algo seria con el personal y con el desayuno buffet que nos parecio muy bueno y con productos de calidad, las habitaciones son amplias aunque se ve que ya tienen unos años aun asi estñán correctas y limpias, puedes usar la piscina por tramos horarios de dos horas por esto del covid, tambien te dejan toallas para la piscina",bien quedarme personal desayuno buffet parecio bueno productos calidad habitaciones amplias aunque ve anos aun asi estnan correctas limpias puedes usar piscina tramos horarios dos horas covid dejan toallas piscina
"Al parking se accede por fuera del hotel y las plazas son algo justa, por los alrededores no nos fue posible aparcar aunque dimos varias vueltas, por la zona hay bares y restaurantes de comida rapida",parking accede plazas justa alrededores no posible aparcar aunque dimos varias vueltas zona bares restaurantes comida rapida
Puedes coger el bus que te lleva al cento en unos 10-15 minutos,puedes coger bus lleva cento 10 15 minutos
Hotel cercano a Santa Justa,cercano santa justa
Uno de los puntos fuertes de este hotel es su ubicación al lado de la estación de Santa Justa y de varias líneas de bus,puntos fuertes ubicacion lado estacion santa justa varias lineas bus
Además del trato del personal de recepción como de la limpieza que fue muy bueno,ademas trato personal recepcion limpieza bueno
La habitación que nos asignaron estaba bastante bien con vistas hacia la piscina,habitacion asignaron bastante bien vistas hacia piscina
"Como aspecto a mejorar, el tema de la piscina, nos asignaron una hamaca al lado de 2 personas que estaban todo el rato fumando por lo que nos fuímos cabreados de allí y más habiendo hamacas de sobra para estar a mucha más distancia",aspecto mejorar tema piscina asignaron hamaca lado 2 personas rato fumando cabreados alli hamacas sobra mucha distancia
"Mucho gel, mascarilla y demás, pero en las hamacas de la piscina puede fumar la gente que tienes al lado",gel mascarilla demas hamacas piscina puede fumar gente lado
LIMPIO Y SEGURO ,limpio seguro
Hotel con buena ubicación y para mi sorpresa bastante limpio,buena ubicacion sorpresa bastante limpio
"Por el protocolo del COVID si no pedías que te limpiaran la habitación, no la limpiaban",protocolo covid no pedias limpiaran habitacion no limpiaban
"Las camas son bastante cómodas, el baño es amplio y dispone de unos armarios bastante grandes",camas bastante comodas bano amplio dispone armarios bastante grandes
Fuimos un fin de semana de pasada y fue bastante cómodo tener un centro comercial a 5 minutos andando,fin semana pasada bastante comodo tener centro comercial 5 minutos andando
Recomendable ,recomendable
Adaptado a la nueva normalidad,adaptado nueva normalidad
Dispone de gym(ahora cerrado por normas covid) y piscina exterior con horario restringido a 2 h máximo por habitación,dispone gymahora cerrado normas covid piscina exterior horario restringido 2 h maximo habitacion
"En cuanto a la habitación 203 amplia y con baño con todas las piezas, lcd 32,en cuanto a los colchones estilo muelles eran algo mejorables",cuanto habitacion 203 amplia bano todas piezas lcd 32en cuanto colchones estilo muelles mejorables
Precio parking 9,precio parking 9
90€,90
Estancia por trabajo,estancia trabajo
"Hotel en zona del Arenal con immejorable situación, EN mi caso muy buena oferta y exceplente relación calidad -precio",zona arenal immejorable situacion caso buena oferta exceplente relacion calidad precio
"Destacar amabailidad esquisita del personal de recepción, especialmente (M) y en general de todo el personal del hotel",destacar amabailidad esquisita personal recepcion especialmente m general personal
"Desayuno muy correcto y habitación impecable, Recomandable",desayuno correcto habitacion impecable recomandable
"Bien, con peros",bien peros
"La ubicación del hotel es perfecta, se puede ir andando a todos los lugares turísticos",ubicacion perfecta puede ir andando lugares turisticos
"El personal es muy amable y el hotel en sí es precioso, mi único pero es el desayuno, muy básico y con poca variedad Por todo lo demás, un hotel más que recomendable",personal amable precioso unico desayuno basico poca variedad demas recomendable
Bonito hotel con encanto en el centro de Sevilla,bonito encanto centro sevilla
Pasamos una sola noche pero he de decir que el hotel es muy bonito ,pasamos sola noche decir bonito
Tiene mucho encanto y estuvimos muy agusto,encanto agusto
Muy bien recibidos por maria la chica de recepción que nos dio todo tipo de facilidades para conocer mejor la ciudad y un detalle de bienvenida ,bien recibidos maria chica recepcion dio tipo facilidades conocer mejor ciudad detalle bienvenida
Muy recomendable el lugar,recomendable lugar
Agradable,agradable
"Una estancia muy agradable, disfrutando de la tranquilidad y el spa",estancia agradable disfrutando tranquilidad spa
"Todo muy limpio, personal agradable y una decoración muy bonitaEl único punto en contra fue la piscina, la cual  tuvimos que reservar para un tramo horario por tema Covid y aforo permitido pero cuando fuimos había mucha y gente y la piscina era pequeña por lo que no pudimos disfrutarla",limpio personal agradable decoracion bonitael unico punto piscina reservar tramo horario tema covid aforo permitido mucha gente piscina pequena no pudimos disfrutarla
ES UNA BUENA OPCIÓN,buena opcion
"Cerca de la zona antigua, no está mal situado",cerca zona antigua no mal situado
Buena limpieza,buena limpieza
Personal muy amable,personal amable
Nuestra habitación era para 4 personas con 2 camas más otra grande matrimonial,habitacion 4 personas 2 camas grande matrimonial
Colchones muy cómodos al igual que las almohadas,colchones comodos igual almohadas
Descansas muy bien,descansas bien
Baño reformado con una ducha muy chula,bano reformado ducha chula
"Lo único que nos tocó en la planta baja y por la mañana se oía mucho la bajante cuando alguien usaba el baño en pisos superiores, pero es algo que no tiene solución y no depende del buen hacer del personal",unico toco planta baja manana oia bajante alguien usaba bano pisos superiores no solucion no depende buen hacer personal
"La tv no estaba bien sintonizada y fué imposible verla, pero bueno, no importó mucho",tv no bien sintonizada imposible verla bueno no importo
En líneas generales el hotel está muy bien,lineas generales bien
"Excelente servicio, instalaciones y ubicación",excelente servicio instalaciones ubicacion
"Excelente trato del personal,( Joaquin, Mercedes",excelente trato personal joaquin mercedes
"recepción, restauración etc",recepcion restauracion etc
Relación calidad/ precio y ubicacion,relacion calidad precio ubicacion
"Estuvimos con media pensión con calidad, dos noches y nos pareció que las habitaciones tienen amplitud y dotadas de todas las comodidades",media pension calidad dos noches parecio habitaciones amplitud dotadas todas comodidades
Repetiremos,repetiremos
Hotel con encanto,encanto
Es un hotel con encanto situado en el barrio de la Macarena,encanto situado barrio macarena
El hotel está muy limpio y es confortable,limpio confortable
"El barrio de noche se llena de gente, bares con terraza y mucho ambiente",barrio noche llena gente bares terraza ambiente
Se puede almorzar por los alrededores del hotel,puede almorzar alrededores
Está muy cerquita del centro,cerquita centro
TRATO INMEJORABLE,trato inmejorable
Sitio muy acogedor para una sobremesa o un aperitivo estupendo,sitio acogedor sobremesa aperitivo estupendo
El personal muy atento y especialmente agradable,personal atento especialmente agradable
"entrañable la partida que jugamos mi marido y yo, por supuesto ganó com siempre, lo adoro",entranable partida jugamos marido supuesto gano com siempre adoro
Muy bueno,bueno
"Muy buen servicio, el hotel es encantador, especial para viajar y conocer Sevilla, está cerca de todo y tiene una atención maravillosa por parte del personal",buen servicio encantador especial viajar conocer sevilla cerca atencion maravillosa parte personal
"Buena cocina, Las habitaciones son acogedoras y limpias",buena cocina habitaciones acogedoras limpias
Buena escapada de fin de semana,buena escapada fin semana
"Hotel con encanto, de fácil acceso a 15 min de la campana",encanto facil acceso 15 min campana
"Agradable trato, decoración cuidada, limpio",agradable trato decoracion cuidada limpio
"La habitación en nuestro caso la 10, amplia, cómoda con cuarto de baño completo también amplio",habitacion caso 10 amplia comoda cuarto bano completo amplio
"Tiene parking propio que aunque es pequeño, tuvimos suerte de que hubiera plaza disponible ya que no lo reservamos",parking propio aunque pequeno suerte plaza disponible no reservamos
Tiene una terraza en el último piso muy agradable y relajante,terraza ultimo piso agradable relajante
Café y tartas muy ricas,cafe tartas ricas
para unas copas también perfecto,unas copas perfecto
El personal muy detallista,personal detallista
"La única pega, es que nos toco una habitación en la planta baja sin vistas al exterior, en un principio no nos molestó ya que la zona es ruidosa",unica pega toco habitacion planta baja sin vistas exterior principio no molesto zona ruidosa
Pero enfrente de la habitación se encontraba la lavandería y a las 8 de la mañana de el domingo ya se escuchaba ruidos y charlas de las camareras,enfrente habitacion encontraba lavanderia 8 manana domingo escuchaba ruidos charlas camareras
"Un hotel bien sevillano, lindisimo",bien sevillano lindisimo
"El hotel se encuentra ubicado en una zona inmejorable, con lugares para comer y donde se puede vivir la noche sevillana",encuentra ubicado zona inmejorable lugares comer puede vivir noche sevillana
"Las instalaciones son lindisimas, muy lindo esta bien mantenido",instalaciones lindisimas lindo bien mantenido
Las habitaciones muy cómodas y limpias,habitaciones comodas limpias
Muy cordial el personal,cordial personal
Si vuelvo a Sevilla volveré a ese hotel sin duda,vuelvo sevilla volvere sin duda
Muy buen hostal,buen hostal
"Habitación grande,cama comoda,aire acondicionado, baño amplio,television ,todo limpio,ideal para unos dias y zona tranquila",habitacion grandecama comodaaire acondicionado bano ampliotelevision limpioideal dias zona tranquila
El recepciónista muy majo te indica todo para visitar,recepcionista majo indica visitar
Cerca del centro,cerca centro
Lo recomiendo,recomiendo
Muy lindo hotel,lindo
"Es un hotel diferente, que si bien en fachada y patio es Andaluz 100%, dentro de la habitación es moderno y comodo",diferente bien fachada patio andaluz 100 dentro habitacion moderno comodo
"La atención es muy buena, es limpio y se encuentra cuidado",atencion buena limpio encuentra cuidado
"La ubicación es buena, se encuentra a 20 minutos de la catedral andando a pie, sin apuros",ubicacion buena encuentra 20 minutos catedral andando pie sin apuros
Vacaciones,vacaciones
"Fuimos en mayo del 2019  por primera vez y quisiera decirles que disfrutamos muchísimo el hotel servicios, habitaciones excelente",mayo 2019 primera vez quisiera decirles disfrutamos muchisimo servicios habitaciones excelente
Mucha cordialidad nos sentimos super satisfechas,mucha cordialidad sentimos super satisfechas
Lo volvería a elegir,volveria elegir
Atención excelente,atencion excelente
Destacar la atención recibida en todo momento y la preparación de la habitación,destacar atencion recibida momento preparacion habitacion
Hicimos late check in por ser viaje de trabajo,hicimos late check in ser viaje trabajo
"Avisamos con un día de antelación que necesitábamos plaza de parking y al llegar, estaba disponible",avisamos dia antelacion necesitabamos plaza parking llegar disponible
"La preparación de la habitación, excelente",preparacion habitacion excelente
Hubo un problema con la habitación y me la cambiaron al instante,problema habitacion cambiaron instante
Un sifón que sonaba 5 segundos cada minuto,sifon sonaba 5 segundos cada minuto
"Hay habitaciones que dan al patio y se oye todo lo que ocurre fuera, hasta el tránsito de las personas",habitaciones dan patio oye ocurre transito personas
La zona es de difícil acceso en coche (calles estrechas) e imposible aparcamiento(literalmente),zona dificil acceso coche calles estrechas imposible aparcamientoliteralmente
"Si tenéis que acudir a la zona, mejor en taxi",acudir zona mejor taxi
Bonito hotel,bonito
"EN el  hotel Patio de la Alameda, supieron conservar el encanto de los patios andaluces",patio alameda supieron conservar encanto patios andaluces
"Me gustó mucho el hotel, bien situado, caminando desde el hotel la la zona monumental  entre 20/30 minutos caminando",gusto bien situado caminando zona monumental 20 30 minutos caminando
Las habitaciones son coquetas y limpias,habitaciones coquetas limpias
El personal es atento,personal atento
Buena ubicación y mucho ambiente mochilero!,buena ubicacion ambiente mochilero
Lo mejor del Hostel es la ubicación porque está cerca de todos los puntos turísticos y la estación de bus,mejor hostel ubicacion cerca puntos turisticos estacion bus
Estuve en una habitación de 6 y estaba todo correcto,habitacion 6 correcto
El baño común estaba limpio y al lado de la habitación,bano comun limpio lado habitacion
"Por la mañana tienes desayuno básico con cereales, leche y zumo",manana desayuno basico cereales leche zumo
Nada más,nada
Muy buen hostel,buen hostel
Impresionante las instalaciones del hostel,impresionante instalaciones hostel
"Cuenta con cocina, desayunador, terraza y varios pisos",cuenta cocina desayunador terraza varios pisos
"El desayuno son cereales, jugo y alguna infusión",desayuno cereales jugo alguna infusion
Las camas son cómodas,camas comodas
En Semana Santa aumente considerablemente,semana santa aumente considerablemente
"muy buen hostel, muy bien ubicado",buen hostel bien ubicado
"Muy moderno hostel, con cocina grande y compartida",moderno hostel cocina grande compartida
"Buen desayuno, y las habitaciones espaciosas",buen desayuno habitaciones espaciosas
con detalles para una buena estadía,detalles buena estadia
Excelente para gente joven,excelente gente joven
"tal vez un poco ruidoso,  Muy buena ubicación!!! y su personal muy amable!!!",tal vez ruidoso buena ubicacion personal amable
genial!,genial
"cerca de la estación de tres tipo unas tres cuadras, cuenta con ducha fuera de la habitación pero siempre esta limpia, el personal es muy gentil, preparan cena para confraternizar entre los turistas que estamos de pasada por el lugar",cerca estacion tres tipo unas tres cuadras cuenta ducha habitacion siempre limpia personal gentil preparan cena confraternizar turistas pasada lugar
la pasé genial!,pase genial
Personal amable y buena onda,personal amable buena onda
Vine a Sevilla por unos días e hice el booking con este hostal,vine sevilla dias hice booking hostal
"Quede feliz por la ubicación súper buena y el personal tan amable, especialmente Andrea",quede feliz ubicacion super buena personal tan amable especialmente andrea
"Se encuentra a 1 cuadra de plaza nueva, a 2 min de la catedral y 5 del Alcázar",encuentra 1 cuadra plaza nueva 2 min catedral 5 alcazar
Espero regresar algún día,espero regresar algun dia
Una opinion,opinion
