text,review_index,text_processed
Pero muy bonito sitio,14,bonito sitio
Es una pena,14,pena
"Hace muchos años que lo crearon y era estupendo, pero con el tiempo se ha deteriorado muchísimo",14,hace anos crearon estupendo tiempo deteriorado muchisimo
Se supone que es de cuatro estrellas pero deja muchísimo que desear,14,supone cuatro estrellas deja muchisimo desear
"Son casas de la antigua judería, unidas todas por un pasadizo o algunas de ellas cruzando alguna calle",14,casas antigua juderia unidas todas pasadizo cruzando alguna calle
"Los patios son preciosos, dan ganas de quedarse todo el día disfrutando del silencio y de la belleza",14,patios preciosos dan ganas quedarse dia disfrutando silencio belleza
Hay solo un restaurante y tiene horario bastante restringido y sin embargo en todas las casas que hay no hay nada para poder comer algo si tienes hambre,14,solo restaurante horario bastante restringido sin embargo todas casas no nada poder comer hambre
En la habitación no había nevera ni siquiera con agua,14,habitacion no nevera siquiera agua
"En la casa en la que me alojé, San Clemente, había un salón donde sentarse, pero nada más",14,casa aloje san clemente salon sentarse nada
Hice la reserva con meses de antelación y me dieron una en medio de una de las callejuelas de las…,14,hice reserva meses antelacion dieron medio callejuelas
No hay churros,15,no churros
"El hotel buena ubicación , cuarto de baño modificado muy bueno , las camas incómodas y se escucha todos los ruidos del exterior ,el desayuno malo no lo siguiente , los trabajadores muy amables  ,  son detallistas cuando llegas a la habitación tienes una bolsa de la cadena y dos botellas de agua en el mini frigorífico",15,buena ubicacion cuarto bano modificado bueno camas incomodas escucha ruidos exterior desayuno malo no siguiente trabajadores amables detallistas llegas habitacion bolsa cadena dos botellas agua mini frigorifico
Perfecto para ir de paso y bien ubicado,16,perfecto ir paso bien ubicado
"Hotel algo renovado situado en el Barrio de Nervión, cerquita del Sánchez Pizjuan y del Corte Inglés",16,renovado situado barrio nervion cerquita sanchez pizjuan corte ingles
"Le falta alguna renovación  pero para pasar 1 o 2 noches de paso perfecto, el precio acorde a sus instalaciones",16,falta alguna renovacion pasar 1 2 noches paso perfecto precio acorde instalaciones
Repetiría,16,repetiria
Bueno,17,bueno
"El hotel la verdad que está bien para ser tres estrellas, nosotros nos alojamos allí por su situación cerca del estadio del Sevilla puesto que fuimos a ver al Granada",17,verdad bien ser tres estrellas alojamos alli situacion cerca estadio sevilla puesto ver granada
"Con el transporte público estas en el centro en un rato, las habitaciones normalistas, algo antigua, la",17,transporte publico centro rato habitaciones normalistas antigua
gente de recepción bastante amables,17,gente recepcion bastante amables
"y atentos, yo creo que por el precio repetiría",17,atentos creo precio repetiria
Este alojamiento no se merece representar el nombre que tiene,18,alojamiento no merece representar nombre
Experiencia regular,18,experiencia regular
Estuvimos alojados desde el domingo día 8 de agosto hasta el martes día 10,18,alojados domingo dia 8 agosto martes dia 10
"Elegimos este hotel ya que tuvimos muy buenas experiencias en otros alojamientos de esta cadena y se nos hizo entender que todos son similares, además de mantener todos los beneficios del programa “Miembros Hilton”",18,elegimos buenas experiencias alojamientos cadena hizo entender similares ademas mantener beneficios programa miembros hilton
La atención telefónica fue correcta aunque no siempre resultó sencillo que nos cogiesen la llamada,18,atencion telefonica correcta aunque no siempre resulto sencillo cogiesen llamada
"Cuando llegamos a la habitación esta era bastante pequeña, aunque lo que más nos disgustó fue la limpieza del baño, el cual olía a humedad y tenía pelos",18,llegamos habitacion bastante pequena aunque disgusto limpieza bano olia humedad pelos
"Como comentamos antes, somos miembros Hilton, por lo cual pagamos 10 euros más para no obtener ningún tipo de beneficio, tal si quiera una botella de agua de cortesía",18,comentamos miembros hilton pagamos 10 euros no obtener ningun tipo beneficio tal quiera botella agua cortesia
"En relación al COVID, no hay demasiado control, sobre todo en la piscina…",18,relacion covid no demasiado control piscina
Bonito Hotel pero alejado,19,bonito alejado
"En nuestro caso fue estancia obligada, vuelo cancelado",19,caso estancia obligada vuelo cancelado
El hotel esta alejado y no conviene ir caminando menos de noche,19,alejado no conviene ir caminando menos noche
"Habitaciones completas, al menos la asignada en la 10 planta",19,habitaciones completas menos asignada 10 planta
"Se le nota que hay falta mantenimiento porque las laminas del suelo estaban algunas casi levantadas por las uniones, descalzo puedes cortarte",19,nota falta mantenimiento laminas suelo casi levantadas uniones descalzo puedes cortarte
"Los bastidores de las puertas, feos por lo demás todo bien",19,bastidores puertas feos demas bien
El personal muy agradable y atento,19,personal agradable atento
"El desayuno mal atendido, solo una persona a la que se le pedía  casi sin saber pues no podías acceder a nada, solo el café de la maquina",19,desayuno mal atendido solo persona pedia casi sin saber pues no podias acceder nada solo cafe maquina
"He estado en hoteles en esta semana y el Buffet funcionaba perfectamente, siempre siguiendo las señales marcadas en el suelo",19,hoteles semana buffet funcionaba perfectamente siempre siguiendo senales marcadas suelo
Pasable,20,pasable
Durante mis vacaciones en Andalucía ha estado en esta pensión!! La verdad es que lo mejor que tiene es la ubicación ja que forma parte del centro histórico de la ciudad,20,vacaciones andalucia pension verdad mejor ubicacion ja forma parte centro historico ciudad
"En referencia a la estancia es correcta, para una noche si pero para más yo no la recomendaria",20,referencia estancia correcta noche no recomendaria
"por su excelente situación, muy cómoda para ir y venir",21,excelente situacion comoda ir venir
"Está muy bien situada, la cama muy cómoda y la habitación amplia, lo malo que el baño que no estaba mal de apariencia tenía a ratos olores a desagüe",21,bien situada cama comoda habitacion amplia malo bano no mal apariencia ratos olores desague
"El desayuno bien, aunque faltaba algo dulce como alguna galleta, sin embargo sí que había mermelada",21,desayuno bien aunque faltaba dulce alguna galleta sin embargo mermelada
Regular,22,regular
"Nos hemos alojado una noche, ubicación buena,",22,alojado noche ubicacion buena
Desayuno para un 4 estrellas debería haber más calidad y estándar,22,desayuno 4 estrellas deberia haber calidad estandar
"No había camareros, el maitre en la puerta comandando quien entraba y nadie más",22,no camareros maitre puerta comandando entraba nadie
Ni siquiera nos han preguntado en el Check out como fue nuestra estancia,22,siquiera preguntado check out estancia
En el check in le cobran directamente pero por la manana ni saludaron,22,check in cobran directamente manana saludaron
"Reformas necesita el hotel, zonas muy degradadas",22,reformas necesita zonas degradadas
PARA REFORMAR,23,reformar
"Tiene olor a rancio, no a viejo  en las habitaciones mobiliario y moquetas para cambiar urgentemente dos personas en recepción para tantas habitaciones, que a pesar de su buen hacer no pueden evitar colas",23,olor rancio no viejo habitaciones mobiliario moquetas cambiar urgentemente dos personas recepcion tantas habitaciones pesar buen hacer no pueden evitar colas
Personal excelente pero no es un 4 estrellas,24,personal excelente no 4 estrellas
"En este momento necesita con carácter urgente una reforma para ser un 4 estrellas, la moqueta está regular la decoración obsoleta, baños antiguos, alicatado lleno de agujeros tapados con masilla, regular, pero eso sí, el personal es estupendo, muy amable y agradable, el desayuno es bueno, el parking 20 euros día",24,momento necesita caracter urgente reforma ser 4 estrellas moqueta regular decoracion obsoleta banos antiguos alicatado lleno agujeros tapados masilla regular personal estupendo amable agradable desayuno bueno parking 20 euros dia
He de decir igualmente que tampoco tienen precios de 4 estrellas son coherentes y tienen precios adecuados y moderados,24,decir igualmente tampoco precios 4 estrellas coherentes precios adecuados moderados
Relación,24,relacion
calidad precio buena,24,calidad precio buena
Espero poderme alojar en otra ocasión y compartir con vosotros que han ido actuqlizando el hotel,24,espero poderme alojar ocasion compartir ido actuqlizando
CORRECTO HOTEL,25,correcto
En cuanto a la habitación todo correcto pues la habitación familiar para dos adultos y dos niños es suficientemente amplia,25,cuanto habitacion correcto pues habitacion familiar dos adultos dos ninos suficientemente amplia
Ninguna queja en tal sentido,25,ninguna queja tal
En cuanto al mobiliario sí es cierto como dicen algunas opiniones que es un tanto obsoleto pero sinceramente sigue siendo práctico y funcional por lo que tampoco es un defecto,25,cuanto mobiliario cierto dicen opiniones obsoleto sinceramente sigue siendo practico funcional tampoco defecto
Sí es cierto que nos tocó un problema en la gestión de ocupación de la piscina y es que tan solo un día antes de la llegada al hotel se nos advirtió por email que la entrada en la piscina estaba limitada a un número concreto de personas,25,cierto toco problema gestion ocupacion piscina tan solo dia llegada advirtio email entrada piscina limitada numero concreto personas
"Si es así por COVID pues no hay más remedio y se acata, es lógico, pero la queja está en que siendo un hotel tan grande y con una ocupación tan alta lo más razonable es que se hicieran tramos de tiempo más cortos para el…",25,asi covid pues no remedio acata logico queja siendo tan grande ocupacion tan alta razonable hicieran tramos tiempo cortos
Necesita tener un,26,necesita tener
poco más de empatia hacia clientes,26,empatia hacia clientes
Trato seco el hotel necesita reforma la piscina sin socorrista los niños saltando molestando por qué nadie vigilaba salimos de la habitación a las 9y30 y cuando volvimos a las 14y30 seguía sin limpiar y con sabanas quitadas gracias a una camarera de pisos la cual morena pelo rizado y corto no sabemos su nombre nos pidió disculpas y la izo en un pis pas llegando la gobernanta y ni una disculpa ella a lo suyo fue más amable la,26,trato seco necesita reforma piscina sin socorrista ninos saltando molestando nadie vigilaba salimos habitacion 9y30 volvimos 14y30 seguia sin limpiar sabanas quitadas gracias camarera pisos morena pelo rizado corto no sabemos nombre pidio disculpas izo pis pas llegando gobernanta disculpa amable
chica que la gobernanta bufet de desayuno bueno solo puedo decir q no volveremos,26,chica gobernanta bufet desayuno bueno solo puedo decir q no volveremos
Necesita mejoras,27,necesita mejoras
Habitación con moqueta y anticuada,27,habitacion moqueta anticuada
era una habitación familiar y para llegar a ella había que recorrer 2 pasillos largos y bajar 4 escalones que con maletas grandes y pesadas se hace incómodo,27,habitacion familiar llegar recorrer 2 pasillos largos bajar 4 escalones maletas grandes pesadas hace incomodo
llegamos a las 15 y preguntamos en Recepción por el aforo en la piscina,27,llegamos 15 preguntamos recepcion aforo piscina
nos dice 30 personas y que ahora mismo está libre,27,dice 30 personas ahora mismo libre
decidimos subir sobre las 17 y nos encontramos con una piscina llena de gente,27,decidimos subir 17 encontramos piscina llena gente
habría mínimo 50 personas,27,minimo 50 personas
"gente con la toalla tirada por el suelo, toallas colgadas por todos lados y gente ""pegada"" en las tumbonas toda la tarde",27,gente toalla tirada suelo toallas colgadas lados gente pegada tumbonas toda tarde
"no había nadie que controlase el aforo, si era el del bar pues estaba a lo suyo y allí no controlaba nadie",27,no nadie controlase aforo bar pues alli no controlaba nadie
el desayuno lo único que se diferenciaba de los tiempos de antes del Covid19 es que te daban unas pinzas desechables para…,27,desayuno unico diferenciaba tiempos covid19 daban unas pinzas desechables
Relación calidad-precio buena,28,relacion calidad precio buena
"El hotel cuenta con buena ubicación, la habitación y el baño es amplio",28,cuenta buena ubicacion habitacion bano amplio
la habitación está bien insonorizada ya que por la ubicación del hotel tiene bastante tráfico,28,habitacion bien insonorizada ubicacion bastante trafico
"Aunque hay que decir que el hotel en general necesita una buena reforma, se ha quedado bastante anticuado y hay multitud de desperfectos",28,aunque decir general necesita buena reforma quedado bastante anticuado multitud desperfectos
En cuanto al desayuno tipo buffet muy sorprendida por que tenía mucha variedad  y opciones a elegir y de calidad no estaba nada mal,28,cuanto desayuno tipo buffet sorprendida mucha variedad opciones elegir calidad no nada mal
Los recepcionistas muy amables y serviciales y eso es de agradecer,28,recepcionistas amables serviciales agradecer
Para pasar un par de noches el hotel esta bien,28,pasar par noches bien
Le conviene una reforma,29,conviene reforma
"El hotel es confortable pero necesita una puesta a punto, tiene algunos desperfectos de uso y un poco anticuado",29,confortable necesita puesta punto desperfectos uso anticuado
"El personal muy correcto, en cuanto al bufet de desayuno esta bien, bastante variado, teniendo en cuenta que todavia no trabaja al 100%100",29,personal correcto cuanto bufet desayuno bien bastante variado cuenta todavia no trabaja 100 100
Carencia de servicios,30,carencia servicios
Me lesioné y pedí unas muletas o silla de ruedas,30,lesione pedi unas muletas silla ruedas
"No tienen (y a eso, en la recepcion ni se dignaron mirarme ni mucho menos ayudarme a mover un paso)",30,no recepcion dignaron mirarme menos ayudarme mover paso
Pedí un ordenador e imoresora disponible para los clientes,30,pedi ordenador imoresora disponible clientes
No tienen,30,no
Pedí juegos de mesa para pasar el rato,30,pedi juegos mesa pasar rato
No tienen,30,no
Bidé en las habitaciones? No tienen,30,bide habitaciones no
Cercania al centro? En el quinto pino,30,cercania centro quinto pino
"Es realmente de 4 estrellas? Echándole mucha, mucha imaginación, sí",30,realmente 4 estrellas echandole mucha mucha imaginacion
Buen sitio ,31,buen sitio
"Bien situado y fácil de  llegar al centro  habitación estándar ,cama cómoda y recepcionistas agradables , muy luminosa y buenas vistas ",31,bien situado facil llegar centro habitacion estandar cama comoda recepcionistas agradables luminosa buenas vistas
Sin parking gratuito pero cerca puedes aparcar a cambio de una monedilla al gorrilla de turno,31,sin parking gratuito cerca puedes aparcar cambio monedilla gorrilla turno
"Hotel excelente, comida regular",32,excelente comida regular
"Excelente como hotel, habitacion amplia, limpia, buen servicio y atención, en la habitación dos peros, en el servicio no hay bidet, yo estoy acostumbrado a el, y el balcón, supongo no cerraba bien y en dia lluvioso entró agua",32,excelente habitacion amplia limpia buen servicio atencion habitacion dos peros servicio no bidet acostumbrado balcon supongo no cerraba bien dia lluvioso entro agua
"Referente a la comida, bien en cantidad, era buffet, note a faltar cierto punto de calidad o amor en la cocina, faltaba consistencia o sofrito en algunos platos y las sopas de noche me parecieron todas iguales, creo que la cocina le quita puntos al resto del hotel",32,referente comida bien cantidad buffet note faltar cierto punto calidad amor cocina faltaba consistencia sofrito platos sopas noche parecieron todas iguales creo cocina quita puntos resto
Puede y debe mejorar el cocinero,32,puede debe mejorar cocinero
4* muy normalito,33,4 normalito
"Junto al palacio de congresos de Sevilla, tienen una atención muy normalita, el parking bastante caro, la zona de la piscina tranquila,de la habitación destacaría que el baño no estaba totalmente limpio y no había escobilla en el inodoro!?  Por cierto la habitación triple bastante pequeña, de hecho parece una habitación doble",33,junto palacio congresos sevilla atencion normalita parking bastante caro zona piscina tranquilade habitacion destacaria bano no totalmente limpio no escobilla inodoro cierto habitacion triple bastante pequena hecho parece habitacion doble
Visita en navidad,34,visita navidad
Nosotros cogimos sólo alojamiento,34,cogimos solo alojamiento
"El hotel está bien y limpio, las habitaciones son grandes y están limpias, lo único que la ventana de nuestra habitación no cerraba bien",34,bien limpio habitaciones grandes limpias unico ventana habitacion no cerraba bien
Aconsejo que el hotel le cojáis por la página web del hotel tiene la promoción de parking gratuito y puedes entrar y salir tantas veces como quieras del parking,34,aconsejo cojais pagina web promocion parking gratuito puedes entrar salir tantas veces quieras parking
Para ir al centro cogíamos el bus que está la parada a 5 minutos y no movimos el coche,34,ir centro cogiamos bus parada 5 minutos no movimos coche
Habitación para dos,35,habitacion dos
Las habitaciones son correctas pero la limpieza deja mucho que desear,35,habitaciones correctas limpieza deja desear
El suelo del baño sucio y las toallas con manchas,35,suelo bano sucio toallas manchas
Relación calidad precio regular,35,relacion calidad precio regular
la situación es buena y las camas cómodas,35,situacion buena camas comodas
Aparcamos fácil por los alrededores,35,aparcamos facil alrededores
Normal,36,normal
"Para las estrellas que tiene, pide algo más de mantemiento",36,estrellas pide mantemiento
"Primera sorpresa, no tiene habitaciones con cama de matrimonio",36,primera sorpresa no habitaciones cama matrimonio
"La habitación 516 amplia, al igual que el baño",36,habitacion 516 amplia igual bano
"El colchón de látex cómodo, las almohadas blandas en exceso",36,colchon latex comodo almohadas blandas exceso
"El lcd de 15""",36,lcd 15
"Me gustó la mucha iluminación de la habitación y el ventanal,aunque se oía la calle, mejor pedir habitación interior",36,gusto mucha iluminacion habitacion ventanalaunque oia calle mejor pedir habitacion interior
Noche de paso,37,noche paso
Es la segunda vez que hacemos noche en el hotel para no hacer los viajes tan largos,37,segunda vez hacemos noche no hacer viajes tan largos
La habitación espaciosa con un baño amplio( la mampara debería ser más grande por qué tiras mucho agua al suelo) las vistas son a un hospital no esperes mucho,37,habitacion espaciosa bano amplio mampara deberia ser grande tiras agua suelo vistas hospital no esperes
"El hotel está situado a 25 min andando del parque María Luisa  y del centro caminando, así que si te gusta los paseos es una buena opcion",37,situado 25 min andando parque maria luisa centro caminando asi gusta paseos buena opcion
Hay bastantes bares y restaurantes por la zona para comer o cenar,37,bastantes bares restaurantes zona comer cenar
Por 42€ la noche con el parking incluido no esta mál para dos personas y un bebé,37,42 noche parking incluido no mal dos personas bebe
Hotel barato y limpio,38,barato limpio
"Si quieres alojarte en Sevilla en un hotel barato y limpio este es tu sitio, un poco lejos del centro pero con buenas comunicaciones, la oferta incluia parking gratuito y facilita los desplazamientos",38,quieres alojarte sevilla barato limpio sitio lejos centro buenas comunicaciones oferta incluia parking gratuito facilita desplazamientos
El trato del personal del hotel es muy bueno,38,trato personal bueno
Visita familiar,39,visita familiar
Lo reservamos por cercanía con la vivienda de familia,39,reservamos cercania vivienda familia
Volveremos a reservar para el siguiente viaje a Sevilla,39,volveremos reservar siguiente viaje sevilla
"Pero cuando haga menos calor, ya que la temperatura superaba los 40 grados durante el día",39,haga menos calor temperatura superaba 40 grados dia
Ok,40,ok
Un hotel de 3 estrellas que por fuera parece uno de 5,40,3 estrellas parece 5
Buen hall-recepcion y fácil acceso,40,buen hall recepcion facil acceso
"Las habitaciones quiza algo antiguas, con gotelé en techo y cortina en la bañera-ducha",40,habitaciones quiza antiguas gotele techo cortina banera ducha
"Localización cerca de Fibes,palacio de congresos y a 20minutos en taxi del centro",40,localizacion cerca fibespalacio congresos 20minutos taxi centro
Hay varios bares y restaurantes en la zona,40,varios bares restaurantes zona
Nice 3stars hotel that looks like a 5 star on the outside,40,nice 3stars that looks like 5 star on the outside
"Great reception-hall, but bedrooms a bit old",40,great reception hall but bedrooms bit old
5minute walk from congress hall (Fibes) and 20min from centre by taxi,40,5minute walk from congress hall fibes and 20min from centre by taxi
Lots of bars and restaurants near hotel,40,lots of bars and restaurants near
Tranquilidad,41,tranquilidad
Personal amable y hotel limpio,41,personal amable limpio
Buen desayuno buffet,41,buen desayuno buffet
Situado en una zona tranquila y con bares y cervecerias en la zona para tapear y terrazas para tomar unas cervezas,41,situado zona tranquila bares cervecerias zona tapear terrazas tomar unas cervezas
Quizas un poco alejado del centro turistico de la ciudad,41,quizas alejado centro turistico ciudad
Tienen habitaciones adaptadas muy bien para tres o cuatro personas,41,habitaciones adaptadas bien tres cuatro personas
Está raspando el suspenso,42,raspando suspenso
"Las veces que ido me ha alojado en este Hotel y cada vez que voy va decreciendo y es una pena porque la atención es excelente pero las calidades y ciertas cosas como el que no tengan cafetería o bar para tomar algo, no es justificación el que tengas bares cerca y el tamaño de las toallas de baño creo que no es el estándar ya que son pequeñísimas, si necesitas más las pides y no hay problema pero la idea no es secarte con tres o cuatro toallas sino con una de baño grande",42,veces ido alojado cada vez voy va decreciendo pena atencion excelente calidades ciertas cosas no cafeteria bar tomar no justificacion bares cerca tamano toallas bano creo no estandar pequenisimas necesitas pides no problema idea no secarte tres cuatro toallas sino bano grande
A esto hay que añadir que las habitaciones necesitan una pequeña renovación ya que en la que estuve por ejemplo había óxido en el desagüe de la bañera que en realidad son pequeños detalles pero cuando se suman mucho de ellos terminan siendo un problema para el Hotel,42,anadir habitaciones necesitan pequena renovacion ejemplo oxido desague banera realidad pequenos detalles suman terminan siendo problema
Noche buena,43,noche buena
"La habitación muy limpia y arreglada, el tamaño de nuestra habitación era grande, con un pequeño comedor, tv, muebles, la cocina viene con menaje de una olla, un sartén, cubiertos, vasos y platos en pares, la nevera enfriaba muy bien",43,habitacion limpia arreglada tamano habitacion grande pequeno comedor tv muebles cocina viene menaje olla sarten cubiertos vasos platos pares nevera enfriaba bien
"Solo sugiero que el espacio de la ducha se renueve, ya que el ducharse resulta incómodo, así como los colchones de las camas que ya están muy usados",43,solo sugiero espacio ducha renueve ducharse resulta incomodo asi colchones camas usados
Buen precio,44,buen precio
Es un apartamento de buen precio y cerca de Sevilla,44,apartamento buen precio cerca sevilla
Esta a 15 min de Sevilla en coche,44,15 min sevilla coche
"En hora punta por la mañana, tener en cuenta que se tarda el doble",44,hora punta manana tener cuenta tarda doble
El apartamento estaba limpio y es amplio,44,apartamento limpio amplio
Si no quieres gastar mucho es una buena opcion,44,no quieres gastar buena opcion
Dos noches 75 euros,44,dos noches 75 euros
"Se puede aparcar bien y si no hay parquing por 5 euros, aunque no es necesario",44,puede aparcar bien no parquing 5 euros aunque no necesario
Tiene las 24h alguien en la recepcion,44,24h alguien recepcion
"Mairena de Aljarafe tiene muchos bares y centro cial, pero necesitas coche desde el apartamento para llegar",44,mairena aljarafe bares centro cial necesitas coche apartamento llegar
Estancia,45,estancia
